Name,Description,Add,Region,Town,Tel,Px,Py,ParkingSpace,Type,Zone
萬金龍溫泉民宿,位於新北市的民宿,新北市萬里區萬里加投45之6號,新北市,萬里區,886-2-24986166,121.639402,25.210825,20.0,民宿,N
九份觀海樓民宿,位於新北市的民宿,新北市瑞芳區基山街183之1號,新北市,瑞芳區,886-2-24966123,121.84312,25.107625,0.0,民宿,E
天籟山城,位在天籟飯店旁靜謐的溫泉社區別墅備有賞櫻廚房，巴西紫檀泡茶桌三五好友享受寧靜的優閒時光頂樓可看海，賞金山夜景放空靜思享受山景，謝絕吵雜開趴!,新北市金山區山城路39號,新北市,金山區,886-989-339193,121.59530600000001,25.201472,,民宿,N
金瓜石101民宿,,新北市瑞芳區祈堂路101號,新北市,瑞芳區,886-932-363830,121.860115,25.108968,,民宿,E
九份山城逸境民宿,新北｜山城逸境．山城裡的一窗寧靜搭車繞著九份山腰，視線遙望遠方的山嵐，正當陽光透出雲霧，半座翠綠的山頭變得暖澄。走下車，鼻息輕輕呼吸著水的氣味瀰漫，想起先前電話那頭主人Min的叮嚀，前來的路上，得行過老街喧鬧，步行至街尾，迎接你的會是九份寧靜，此時，你已能預見山城逸境的優雅模樣。邊坡旁的幽靜生活踩在角落沾上青苔的石階梯下探，依地勢而生的小徑左拐右彎，沿途錯身山城居民的日常生活，亦不時停下腳步，凝望遠方片刻靜止的山與海。抵達相約的九份國小，Min帶著甜甜的笑容迎接你的到來，隨著Min的腳步，不到三分鐘的距離，山城逸境的門隱身在石徑的邊坡旁。帶上大門、脫下鞋，換上Min準備的室內拖，踩在暖色的木地板，身置暖色的燈光，頓時褪去山中的寒氣，放鬆在木質圍繞的和緩氣息。由於一開始是以家人們休憩去處的規格打造，從玉檀木的實木地板到精選的優渥實木家具，屋子裡的每個角落都吐露著Min一家人對於生活質感的堅持。坐落在山城一角的屋子，為城裡忙碌的生活的你，提供幽靜的落腳。睡醒在恬逸的風景裡輕輕打開每一扇房門，彷彿也打開一扇扇迎向九份風景的任意門，整面落地窗前，止不住斜陽爬上你們的腳邊，望著眼前的山巒一路層層疊疊相連至海灣，海與天連成一線，緩緩地，身體靜置在窗邊的桌椅前，輕輕墜進柔軟的思緒裡。如果住進樓上有閒房，你還能擁有屬於你自己的小客廳，慵懶地任你窩進沙發裡，與窗邊的景色相伴。時間默默將白日推移至傍晚的天光漸暗，你在靜謐裡相伴景緻閱讀與書寫，直至山城的燈火一盞一盞點亮山腰，才輕輕掩上書扉，準備沐浴一日的疲倦。Min貼心設備浴室暖房乾燥機，讓你隨時暖和舒適地待在房裡，沐浴後的時光，用藍牙音響耳機播放你手機裡最愛的歌曲，躺上鬆軟的雙人大床，看著窗外搖曳山徑的燈火，迷濛的眼輕輕相闔，也讓身軀與心靈緩緩進入熟睡的美夢之中。,新北市瑞芳區基山街195號,新北市,瑞芳區,886-920-231712,121.843021,25.107618,,民宿,E
愛莉亞汽車旅館,位於新北市的旅館,新北市三峽區中山路169巷10號(代表號),新北市,三峽區,886-2-26741133,121.363821,24.935945999999998,0.0,汽車旅館,S
好事學田民宿,大家好 新村芳位在瑞芳火車站旁，從台北搭乘火車最快35分鐘即可到達，周邊連結九份、金瓜石、平溪、侯硐⋯，有山有海，不用多花時間，就可以轉換眼前的風景。新村芳附屬經營有息書院、村落小客廳與好事學田旅宿，致力推動學習型旅行創造人與人的美好連結。,新北市瑞芳區瑞芳街37號,新北市,瑞芳區,886-2-24960337,121.80644199999999,25.109341,0.0,民宿,E
九份未眠者花園民宿,優雅佇立在九份的一隅，約莫百年的光景，伴著旅人的旅程，我們一同前往到不一樣的境地。灌溉栽植的花園，有著旅人歡愉的笑聲和令人神往的海天美景！分享生活的點滴及豐沛的情感，讓多少旅人留下無垠的眷戀！每個房間都是一個繾綣動人的情節！像齣戲般，任人感受自己的選擇與氛圍！而如家般感的一字「Homely」是我們想給旅人一絲期待！從房間、起居細節甚至早餐，手作溫馨，不假他人，希望您的旅行，幸福有機。,新北市瑞芳區石埤巷78號,新北市,瑞芳區,886-938-020916,121.842254,25.108404999999998,0.0,民宿,E
幸福讚精品飯店,"新莊幸福讚精品飯店提供高品質住宿和優質服務，讓您到訪台北市依然感覺賓至如歸。 這間4星級酒店距離機場僅有33 KM的路程，交通方便。 酒店位置優越，住客前往市區內熱門景點方便快捷。新莊幸福讚精品飯店提供優質貼心的服務和方便實用的設施，贏得了客人的一致好評。 客人可享受酒店的服務如所有房間免費 Wi-Fi, 每日客房清潔服務, 雜貨速遞, 的士服務, 輪椅無障礙友善設施。 每間房都可感受到新莊幸福讚精品飯店的獨有風格，客人還可盡情享受酒店提供的壁櫥, 清潔用品, 免費紅茶, 毛巾, 已鋪地毯等設施。 酒店各種娛樂設施讓您在入住期間享受更多樂趣。 新莊幸福讚精品飯店地理位置優越，為客人提供一流服務。餐飲提供-中式海鮮合菜,適合商務聚餐/家庭聚會,還有提供文定迎娶/結婚喜宴及中式小吃餐廳會議室提供商務開會, 歡迎來電洽詢!!",新北市新莊區思源路332巷9號1至8樓及11號2至5樓,新北市,新莊區,886-2-29975186,121.46114299999999,25.050988,62.0,飯店/旅店,W
享來大旅社,位於新北市的旅館,"新北市淡水區中山路129巷22,23號3至7樓(1樓門廳）",新北市,淡水區,886-2-26228661,121.44170700000001,25.170461,0.0,旅社,N
金瓜石藝棧景觀渡假別墅民宿,感動美景+美食饗宴+溫馨客房+珍貴幸福感+大自然交響樂，環繞音響和表演舞台，將帶給您滿滿回憶，不虛此行的滿足感，讓您流連忘返，欲走還留，回味無窮!讓您盡情徜徉在山城懷抱和極佳視野景觀與寧靜的氛圍宛如置身仙境，置身美麗畫中!到[藝棧仙境]享受身心靈沉澱，放鬆與休閒，享受令人感動的美景和珍貴的幸福感以及深度文化，生態，景觀之旅是度假旅遊第一選擇!最真人間仙境，最美世外桃源，美麗東方淨土，一生必遊的獨特絕佳景點!來過[金瓜石藝棧]才知天地間居然有這樣美麗的地方，才知台灣之美，沒來過[藝棧仙境]別說遊遍全世界! [藝棧]美景甲世界， [棧房]看盡天下景!遊了[仙境藝棧]，此生沒有遺憾!來這裡宛如去了八個國家還可享受世界級山海景觀，高雅幽靜VILLA，人間仙境，休閒勝地!世外桃源品嚐極味，美食饗宴，視覺享受，享美食，賞美景，悠閒度假，身心靈享受絕佳處所，到[藝棧仙境]享受悠閒幸福時光是您絕佳選擇，最佳禮物和蜜月之旅!好吃、好睡、好廚[藝]，好山、好水、好客[棧]!住宿藝棧宛如在家悠閒自在是最幸福快樂旅遊度假經驗!認識世界美麗山海風光從[藝棧仙境]開始!若未能規畫至此旅遊度假遊將會是一大遺憾!在旅宿業中極負盛名的金瓜石藝棧，世外桃源，層層山巒，海天一色的優美景色可讓您盡情享受唯美，詩情，夢幻身心靈仙境之旅，已吸引30幾國旅遊人士慕名而來，歡迎您來LONG STAY享受獨一無二獨特絕佳景色!本店榮獲政府多項獎項及認證，品質保證，除了讓您安心享受美食也讓您住得溫馨，私密，安全，安心，愜意，舒適，衛生，有保障又可靠。景觀餐廳提供中西式料理，飲品，咖啡，茶點，海鮮料理台菜及台式合菜，美食產品、地方特產宅配，團體Buffet和下午茶及DIY BBQ，是聚餐，宴會，開會，洽談業務，婚紗外景，休閒旅遊最有幸福感的獨特景點!套裝行程或依需求計時遊程，讓旅遊更加豐盛與滿意!想知道什麼叫做: 1.享受 2.感動美景和珍貴幸福感3.最真人間仙境、人間天堂 4.奇幻的海市蜃樓 5.山在虛無飄渺間 6.層層山巒、海天一色 7.氣象萬千，變化多端 8.最美的世外桃源，美麗的東方淨土 9.大自然的交響樂，環繞音響和表演舞台10.真正美，天地間那有這麼美的地方11.流連忘返，欲走還留 12.身心靈享受與仙境之旅13.典型的龍穴14.不虛此行...等意境到[藝棧仙境]就可暸解其涵意!世界旅遊不能錯過的獨特絕佳景點!,新北市瑞芳區山尖路2號,新北市,瑞芳區,886-2-24961010,121.85439,25.115612,,民宿,E
千嘉旅店,位於新北市的旅館,新北市板橋區館前西路139號8樓,新北市,板橋區,886-2-29695066,121.456291,25.007824,,飯店/旅店,W
涵館民宿,想要更深入了解金九地區人文、歷史、地質地貌景觀及生態嗎？問堡主就對啦！帶著閒適的心情，來九份，來我們的台北民宿，讓我們招待你...,新北市瑞芳區輕便路282號,新北市,瑞芳區,886-2-24965160,121.843979,25.109213,0.0,民宿,E
莉塔屋民宿,九份莉塔屋提供旅人舒適乾淨的住宿空間，提供帶免費無線網絡連接的客房，每日早餐，距離九份老街有5分鐘步行路程。九份莉塔屋距離九份黃金瀑布、九份金礦博物館和瑞芳火車站均有10分鐘車程，距離侯硐火車站有15分鐘車程，距離台北松山機場有50分鐘車程。冷暖空調客房均設有平面電視、帶淋浴、吹風機和免費洗浴用品的私人浴室。,新北市瑞芳區汽車路35號,新北市,瑞芳區,886-2-24968091,121.844609,25.109942,,民宿,E
香奈爾汽車旅館 (新莊店),香奈爾汽車旅館-新莊館位於輔仁大學對面，捷運輔大線附近(步行約5~10分鐘) ，交通便捷，當地有三百年歷史的新莊老街、文昌祠、大眾廟。本館MINI BAR上還準備了各式沖泡熱飲、小點心及冰箱冷飲，在設備上本館設有MOD隨選系統、情趣按摩椅、寬敞舒適的按摩浴缸、蒸氣室、舒適烤箱等設施也一應俱全，讓您享受多元化的休閒設備，並提供免費有線、無線網路等服務，滿足在外旅人、商務人士、自由行背包客的需求，讓消費者可以安心使用、快樂享受，讓平時上班的緊繃可以充份舒緩壓力。 因為價格十分迷人關係，許多住客願意多付少許費用來升級體驗更精緻的房型，除了商務客房外，房間分成典雅裝潢的精品客房、明快簡潔的豪華客房、大理石浴缸的溫泉客房、家庭溫馨的四人客房。極品客房、精品客房是本館最受歡迎的房型，本館提供寬敞的空間可以讓您觀賞VOD多部影片，享受最悠閒的時光。本館服務人員均受嚴格的訓練，態度大方和藹，服務客人力求客人至上，讓您感受賓至如歸的感覺。注意事項：※休息不接受預訂，以現場房況為主※可接受團體訂房 ※禁止攜帶寵物,新北市新莊區後港一路187號,新北市,新莊區,886-2-29065555,121.433697,25.028412,,汽車旅館,W
海洋之家民宿,位於新北市的民宿,新北市萬里區港東路9號,新北市,萬里區,886-2-24927690,121.68673999999999,25.203349,0.0,民宿,N
南國旅社,位於新北市的旅館,新北市板橋區館前西路265巷1號1至5樓,新北市,板橋區,886-2-29682121,121.45407800000001,25.008293,0.0,旅社,W
幸福民宿,"緣起住於新北市雙溪區的幸福民宿為全台首創結合傳統理髮店及民宿的特色民宿，民宿女主人為擁有近3.40年老經驗的“前成功嶺之花”，在雙溪當地享有極佳的口碑;當初二位緣起於成功嶺，男主人可說是獨具慧眼，費盡千辛萬苦，才娶回家的“好牽手”！ 男主人為在地的老雙溪人，甫自雙溪鄉退役的鄉民代表，現在仍義務擔任“諮詢委員”，為人熱心且忙於公益努力為鄉民奔波,因為偶然的機會，延續了之前的幸福理髮廳，夫妻同心,一路幸福下去的成立了幸福民宿，許願二人齊手努力將幸福傳遞給更多的人。",新北市雙溪區太平路77號,新北市,雙溪區,886-2-24931962,121.864597,25.035412,,民宿,E
馥華飯店,位於新北市的旅館,新北市板橋區民生路2段251號1樓及3至12樓,新北市,板橋區,886-2-22501717,121.468042,25.022029999999997,0.0,飯店/旅店,W
九份山城山海灣民宿,位於新北市的民宿,新北市瑞芳區街頂巷22號,新北市,瑞芳區,886-936-361406,121.844559,25.108062,0.0,民宿,E
美錦樂賓館,位於新北市的旅館,新北市板橋區南雅東路118號,新北市,板橋區,886-2-29609933,121.45342099999999,25.008369000000002,,旅社,W
佳賓旅社,位於新北市的旅館,"新北市樹林區博愛街2巷24,26,28號",新北市,樹林區,886-2-26812329,121.42685900000001,24.992846,,旅社,W
